metric,20260127_contrastive_vae_fine_lambda_vae_sarashina_fine_lv0.12_temp0.05_lc2.0_lv0.12_s43_f2000_full8000_full,20260109_optuna_trial1_full,delta_a_minus_b
sample_spearman_rho,0.9072223762722003,0.9134917038627216,-0.006269327590521345
regression_r2,0.8348937630653381,0.8799430131912231,-0.04504925012588501
regression_mae,0.007197893224656582,0.006337403319776058,0.0008604899048805237
probe_macro_f1,0.8438914314214075,0.8591931462686307,-0.015301714847223202
probe_balanced_acc,0.8537414965986395,0.8708557107053347,-0.017114214106695225
perm_p_rho,0.000999000999000999,0.000999000999000999,0.0
perm_p_macro_f1,0.000999000999000999,0.000999000999000999,0.0
label_rank_rho_aux,0.9272727272727275,0.9272727272727275,0.0
perm_p_label_rank,0.000999000999000999,0.000999000999000999,0.0
semantic_macro_f1_aux,0.9338447060883267,0.8803688918459377,0.05347581424238901
perm_p_semantic_f1,0.000999000999000999,0.000999000999000999,0.0
knn_vs_global_ratio,0.6375411262355459,0.5791851770472395,0.058355949188306444
