label,gt_speed,pred_speed,gt_rank,pred_rank,rank_delta
通常,1.0,0.023744869977235794,3,3,0
すたすた,2.4300404178069104,0.03633575886487961,1,1,0
せかせか,2.241369101630213,0.03064989298582077,2,2,0
てくてく,0.7933235002966537,0.022491302341222763,4,5,1
どっしどっし,0.7829186892596158,0.02276981621980667,5,4,-1
とぼとぼ,0.4790662881678663,0.01429179310798645,10,9,-1
のしのし,0.5728909648634692,0.016832085326313972,7,6,-1
のろのろ,0.5022536963524622,0.014480751007795334,9,7,-2
ぶらぶら,0.6356145317419398,0.014325146563351154,6,8,2
よたよた,0.5218760528600336,0.012836441397666931,8,10,2
よろよろ,0.307205228235017,0.012814603745937347,11,11,0
