[Step 0001] Loss: 2.5215 | Acc(m->s): 0.045
[Step 0100] Loss: 0.8190 | Acc(m->s): 0.091
[Step 0200] Loss: 0.5697 | Acc(m->s): 0.091
[Step 0300] Loss: 0.7496 | Acc(m->s): 0.159
[Step 0400] Loss: 0.4846 | Acc(m->s): 0.159
[Step 0500] Loss: 0.2964 | Acc(m->s): 0.136
[Step 0600] Loss: 0.1828 | Acc(m->s): 0.159
[Step 0700] Loss: 0.3161 | Acc(m->s): 0.182
[Step 0800] Loss: 0.0912 | Acc(m->s): 0.205
[Step 0900] Loss: 0.1752 | Acc(m->s): 0.159
[Step 1000] Loss: 0.1667 | Acc(m->s): 0.250
[Step 1100] Loss: 0.4145 | Acc(m->s): 0.136
[Step 1200] Loss: 0.0872 | Acc(m->s): 0.182
[Step 1300] Loss: 0.1203 | Acc(m->s): 0.250
[Step 1400] Loss: 0.1311 | Acc(m->s): 0.227
[Step 1500] Loss: 0.1200 | Acc(m->s): 0.205
[Step 1600] Loss: 0.1347 | Acc(m->s): 0.205
[Step 1700] Loss: 0.0226 | Acc(m->s): 0.273
[Step 1800] Loss: 0.0704 | Acc(m->s): 0.205
[Step 1900] Loss: 0.2498 | Acc(m->s): 0.250
[Step 2000] Loss: 0.1060 | Acc(m->s): 0.182
[Step 2100] Loss: 0.0950 | Acc(m->s): 0.227
[Step 2200] Loss: 0.1673 | Acc(m->s): 0.205
[Step 2300] Loss: 0.1003 | Acc(m->s): 0.182
[Step 2400] Loss: 0.0389 | Acc(m->s): 0.250
[Step 2500] Loss: 0.2798 | Acc(m->s): 0.136
[Step 2600] Loss: 0.0327 | Acc(m->s): 0.227
[Step 2700] Loss: 0.0136 | Acc(m->s): 0.273
[Step 2800] Loss: 0.1083 | Acc(m->s): 0.136
[Step 2900] Loss: 0.0418 | Acc(m->s): 0.205
[Step 3000] Loss: 0.0044 | Acc(m->s): 0.250
