Start Joint Training for 5000 steps... (stage=full)
[Step 0001] Total: 1.5245 | VAE: 1.2399 | Cont: 2.8457 | Acc: 0.125
[Step 0100] Total: 0.2426 | VAE: 0.0738 | Cont: 1.6882 | Acc: 0.156
[Step 0200] Total: 0.2187 | VAE: 0.0423 | Cont: 1.7641 | Acc: 0.062
[Step 0300] Total: 0.1710 | VAE: 0.0467 | Cont: 1.2423 | Acc: 0.094
[Step 0400] Total: 0.2113 | VAE: 0.0507 | Cont: 1.6065 | Acc: 0.031
[Step 0500] Total: 0.1866 | VAE: 0.0447 | Cont: 1.4190 | Acc: 0.094
[Step 0600] Total: 0.1803 | VAE: 0.0420 | Cont: 1.3829 | Acc: 0.188
[Step 0700] Total: 0.1976 | VAE: 0.0450 | Cont: 1.5260 | Acc: 0.188
[Step 0800] Total: 0.1919 | VAE: 0.0424 | Cont: 1.4956 | Acc: 0.094
[Step 0900] Total: 0.1950 | VAE: 0.0444 | Cont: 1.5066 | Acc: 0.062
[Step 1000] Total: 0.1895 | VAE: 0.0412 | Cont: 1.4831 | Acc: 0.125
[Step 1100] Total: 0.1879 | VAE: 0.0377 | Cont: 1.5028 | Acc: 0.125
[Step 1200] Total: 0.1792 | VAE: 0.0437 | Cont: 1.3552 | Acc: 0.125
[Step 1300] Total: 0.1854 | VAE: 0.0399 | Cont: 1.4548 | Acc: 0.125
[Step 1400] Total: 0.1839 | VAE: 0.0392 | Cont: 1.4477 | Acc: 0.188
[Step 1500] Total: 0.1691 | VAE: 0.0422 | Cont: 1.2698 | Acc: 0.188
[Step 1600] Total: 0.1684 | VAE: 0.0391 | Cont: 1.2934 | Acc: 0.406
[Step 1700] Total: 0.1812 | VAE: 0.0435 | Cont: 1.3764 | Acc: 0.312
[Step 1800] Total: 0.1642 | VAE: 0.0388 | Cont: 1.2544 | Acc: 0.219
[Step 1900] Total: 0.1666 | VAE: 0.0344 | Cont: 1.3226 | Acc: 0.188
[Step 2000] Total: 0.1540 | VAE: 0.0426 | Cont: 1.1141 | Acc: 0.281
[Step 2100] Total: 0.1694 | VAE: 0.0334 | Cont: 1.3605 | Acc: 0.219
[Step 2200] Total: 0.1510 | VAE: 0.0326 | Cont: 1.1840 | Acc: 0.250
[Step 2300] Total: 0.1293 | VAE: 0.0380 | Cont: 0.9129 | Acc: 0.438
[Step 2400] Total: 0.1439 | VAE: 0.0373 | Cont: 1.0665 | Acc: 0.312
[Step 2500] Total: 0.1412 | VAE: 0.0377 | Cont: 1.0356 | Acc: 0.438
[Step 2600] Total: 0.1178 | VAE: 0.0317 | Cont: 0.8607 | Acc: 0.438
[Step 2700] Total: 0.1426 | VAE: 0.0365 | Cont: 1.0614 | Acc: 0.250
[Step 2800] Total: 0.1352 | VAE: 0.0348 | Cont: 1.0031 | Acc: 0.375
[Step 2900] Total: 0.1358 | VAE: 0.0347 | Cont: 1.0108 | Acc: 0.312
[Step 3000] Total: 0.1090 | VAE: 0.0289 | Cont: 0.8011 | Acc: 0.531
[Step 3100] Total: 0.1117 | VAE: 0.0345 | Cont: 0.7726 | Acc: 0.562
[Step 3200] Total: 0.1215 | VAE: 0.0298 | Cont: 0.9161 | Acc: 0.406
[Step 3300] Total: 0.1040 | VAE: 0.0321 | Cont: 0.7192 | Acc: 0.438
[Step 3400] Total: 0.1022 | VAE: 0.0300 | Cont: 0.7213 | Acc: 0.594
[Step 3500] Total: 0.1184 | VAE: 0.0309 | Cont: 0.8754 | Acc: 0.719
[Step 3600] Total: 0.0844 | VAE: 0.0332 | Cont: 0.5123 | Acc: 0.656
[Step 3700] Total: 0.1017 | VAE: 0.0321 | Cont: 0.6966 | Acc: 0.531
[Step 3800] Total: 0.0921 | VAE: 0.0257 | Cont: 0.6644 | Acc: 0.562
[Step 3900] Total: 0.0887 | VAE: 0.0282 | Cont: 0.6052 | Acc: 0.531
[Step 4000] Total: 0.0797 | VAE: 0.0290 | Cont: 0.5071 | Acc: 0.594
[Step 4100] Total: 0.0923 | VAE: 0.0345 | Cont: 0.5774 | Acc: 0.594
[Step 4200] Total: 0.0799 | VAE: 0.0282 | Cont: 0.5164 | Acc: 0.594
[Step 4300] Total: 0.0832 | VAE: 0.0272 | Cont: 0.5607 | Acc: 0.625
[Step 4400] Total: 0.0712 | VAE: 0.0277 | Cont: 0.4355 | Acc: 0.812
[Step 4500] Total: 0.0729 | VAE: 0.0286 | Cont: 0.4429 | Acc: 0.719
[Step 4600] Total: 0.0576 | VAE: 0.0312 | Cont: 0.2639 | Acc: 0.875
[Step 4700] Total: 0.0739 | VAE: 0.0258 | Cont: 0.4808 | Acc: 0.719
[Step 4800] Total: 0.0754 | VAE: 0.0342 | Cont: 0.4116 | Acc: 0.562
[Step 4900] Total: 0.0740 | VAE: 0.0323 | Cont: 0.4178 | Acc: 0.719
[Step 5000] Total: 0.0602 | VAE: 0.0267 | Cont: 0.3347 | Acc: 0.750
Saving models to /home/jouta/NaVILA-Bench/hoyo_v1_1/joint_training_results
