term,count,mean,std,median,min,max,last_mean,abs_mean,abs_share
Episode_Reward/style_tracking,1631,0.939431,0.026087,0.940073,0.781521,1.019492,0.936553,0.939431,0.4975
Episode_Reward/track_lin_vel_xy_exp,1631,0.435390,0.016036,0.438582,0.391395,0.460855,0.407476,0.435390,0.2306
Episode_Reward/joint_deviation_arms,1631,-0.137403,0.048373,-0.144549,-0.222325,-0.052404,-0.189252,0.137403,0.0728
Episode_Reward/flat_orientation_l2,1631,-0.096667,0.034409,-0.097202,-0.204039,-0.022713,-0.064468,0.096667,0.0512
Episode_Reward/action_rate_l2,1631,-0.082779,0.011879,-0.081878,-0.097719,-0.054250,-0.058927,0.082779,0.0438
Episode_Reward/joint_deviation_hip,1631,-0.051220,0.012729,-0.050918,-0.082224,-0.026429,-0.074671,0.051220,0.0271
Episode_Reward/feet_slide,1631,-0.037038,0.005437,-0.038394,-0.046723,-0.022811,-0.040092,0.037038,0.0196
Episode_Reward/heading_tracking,1631,0.034281,0.013314,0.031795,0.011202,0.074501,0.024859,0.034281,0.0182
Episode_Reward/dof_acc_l2,1631,-0.024046,0.007935,-0.023679,-0.036728,-0.007051,-0.009216,0.024046,0.0127
Episode_Reward/ang_vel_xy_l2,1631,-0.017075,0.004512,-0.018709,-0.024274,-0.006694,-0.008071,0.017075,0.0090
Episode_Reward/feet_air_time,1631,0.016489,0.005813,0.016655,0.003177,0.025992,0.004797,0.016489,0.0087
Episode_Reward/dof_pos_limits,1631,-0.009650,0.003857,-0.009421,-0.024429,-0.002537,-0.011560,0.009650,0.0051
Episode_Reward/joint_deviation_torso,1631,-0.005222,0.002645,-0.004252,-0.016055,-0.002253,-0.010393,0.005222,0.0028
Episode_Reward/termination_penalty,1631,-0.001787,0.003534,0.000000,-0.028333,0.000000,-0.000505,0.001787,0.0009
Episode_Reward/dof_torques_l2,1631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000
Episode_Reward/feet_stumble,1631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000
